"word","sad"
"punch",TRUE
"punished",TRUE
"punishing",TRUE
"punitive",TRUE
"quiet",TRUE
"rabid",TRUE
"rack",TRUE
"rainy",TRUE
"rape",TRUE
"rating",TRUE
"ravenous",TRUE
"recession",TRUE
"recidivism",TRUE
"refugee",TRUE
"refused",TRUE
"regret",TRUE
"regrettable",TRUE
"regretted",TRUE
"regretting",TRUE
"reject",TRUE
"rejection",TRUE
"rejects",TRUE
"relapse",TRUE
"relics",TRUE
"remiss",TRUE
"remorse",TRUE
"remove",TRUE
"repress",TRUE
"reprisal",TRUE
"reproach",TRUE
"requiem",TRUE
"resentment",TRUE
"resign",TRUE
"resignation",TRUE
"resigned",TRUE
"resisting",TRUE
"restrict",TRUE
"restriction",TRUE
"retard",TRUE
"retirement",TRUE
"retribution",TRUE
"revoke",TRUE
"revolution",TRUE
"revolver",TRUE
"rheumatism",TRUE
"ridicule",TRUE
"rob",TRUE
"robbery",TRUE
"romance",TRUE
"rot",TRUE
"rubble",TRUE
"rue",TRUE
"ruin",TRUE
"ruined",TRUE
"ruinous",TRUE
"rumor",TRUE
"runaway",TRUE
"rupture",TRUE
"sabotage",TRUE
"sacrifices",TRUE
"sadly",TRUE
"sadness",TRUE
"sanctify",TRUE
"sap",TRUE
"sarcasm",TRUE
"sarcoma",TRUE
"savor",TRUE
"scar",TRUE
"scarce",TRUE
"scarcely",TRUE
"scarcity",TRUE
"schizophrenia",TRUE
"scold",TRUE
"scourge",TRUE
"scrapie",TRUE
"secluded",TRUE
"sedition",TRUE
"segregate",TRUE
"senile",TRUE
"senseless",TRUE
"sentence",TRUE
"sepsis",TRUE
"sequestration",TRUE
"seriousness",TRUE
"servile",TRUE
"setback",TRUE
"severance",TRUE
"shack",TRUE
"shackle",TRUE
"shame",TRUE
"shameful",TRUE
"shatter",TRUE
"shattered",TRUE
"shell",TRUE
"shipwreck",TRUE
"shiver",TRUE
"shortage",TRUE
"shot",TRUE
"shriek",TRUE
"shrink",TRUE
"shroud",TRUE
"shun",TRUE
"sick",TRUE
"sickening",TRUE
"sickly",TRUE
"sickness",TRUE
"sin",TRUE
"sinful",TRUE
"sing",TRUE
"sinner",TRUE
"sisterhood",TRUE
"skid",TRUE
"slaughter",TRUE
"slaughterhouse",TRUE
"slaughtering",TRUE
"slave",TRUE
"slavery",TRUE
"slayer",TRUE
"sluggish",TRUE
"slump",TRUE
"slur",TRUE
"smite",TRUE
"snort",TRUE
"sob",TRUE
"socialist",TRUE
"soldier",TRUE
"somber",TRUE
"sonnet",TRUE
"sordid",TRUE
"sore",TRUE
"sorely",TRUE
"soreness",TRUE
"sorrow",TRUE
"sorrowful",TRUE
"soulless",TRUE
"spank",TRUE
"specter",TRUE
"speculation",TRUE
"spinster",TRUE
"splitting",TRUE
"spoiler",TRUE
"sprain",TRUE
"squall",TRUE
"stab",TRUE
"stagnant",TRUE
"starvation",TRUE
"steal",TRUE
"sterile",TRUE
"stifled",TRUE
"stigma",TRUE
"stillborn",TRUE
"stillness",TRUE
"stingy",TRUE
"stint",TRUE
"strangle",TRUE
"stretcher",TRUE
"stricken",TRUE
"strip",TRUE
"stripped",TRUE
"stroke",TRUE
"struggle",TRUE
"subjected",TRUE
"subjugation",TRUE
"subsidence",TRUE
"subvert",TRUE
"sue",TRUE
"sufferer",TRUE
"suffering",TRUE
"suffocating",TRUE
"suicidal",TRUE
"suicide",TRUE
"sullen",TRUE
"sunk",TRUE
"suppress",TRUE
"surgery",TRUE
"surrender",TRUE
"surrendering",TRUE
"sweetheart",TRUE
"sympathetic",TRUE
"sympathize",TRUE
"sympathy",TRUE
"syncope",TRUE
"taint",TRUE
"tarnish",TRUE
"taunt",TRUE
"tax",TRUE
"tearful",TRUE
"tease",TRUE
"tempest",TRUE
"terminal",TRUE
"terminate",TRUE
"termination",TRUE
"terrible",TRUE
"terribly",TRUE
